event_id,name,artist_ids,art_forms,genres,language,city,venue,style,mood_tags,festival,festivals,event_type,date,capacity,ticket_price,status
E0010,Live Nishani Wickremasinghe,['A0036'],['drama'],['contemporary'],['sinhala'],Colombo,Kandy Lake Club,['contemporary'],"['spiritual', 'patriotic']",,[],exhibition,2026-03-30T10:09:28.501317,200,0,upcoming
E0011,Evening with Gayan Senanayake,['A0032'],['dance'],['low_country'],['sinhala'],Hambantota,Bishop's College Auditorium,['traditional'],"['spiritual', 'intellectual', 'patriotic']",,[],concert,2026-02-21T10:09:28.501328,100,0,upcoming
E0012,Evening with Meena Wickremasinghe,['A0058'],['drama'],"['kolam', 'contemporary']",['tamil'],Galle,University of Peradeniya Open Air Theatre,['traditional'],"['intellectual', 'patriotic', 'energetic']",,[],performance,2026-02-27T10:09:28.501339,1000,3000,upcoming
E0013,Live Ravi Wijesinghe,['A0015'],['dance'],['bharatanatyam'],['tamil'],Mannar,Galadari Hotel Ballroom,['contemporary'],"['celebratory', 'reflective']",,[],competition,2026-03-09T10:09:28.501350,1000,1000,upcoming
E0014,Vesak - Lasith Wickremasinghe,['A0057'],['dance'],['kandyan'],['sinhala'],Nuwara Eliya,BMICH (Bandaranaike Memorial International Conference Hall),['traditional'],"['devotional', 'reflective', 'energetic']",vesak,['vesak'],performance,2026-05-31T10:09:28.501362,50,500,upcoming
E0015,Peradeniya Arts Festival - Hiruni Kumar,"['A0049', 'A0054']",['literature'],"['traditional', 'contemporary']",['sinhala'],Badulla,Navarangahala (Borella),['contemporary'],"['devotional', 'spiritual']",peradeniya_arts_festival,['peradeniya_arts_festival'],exhibition,2026-02-20T10:09:28.501375,200,0,upcoming
E0016,Celebration of Nimesh Pathirana,['A0050'],['visual_arts'],['contemporary'],['sinhala'],Chilaw,Navarangahala (Borella),['contemporary'],"['intellectual', 'energetic']",,[],competition,2026-07-27T10:09:28.501386,100,1500,upcoming
E0017,Evening with Madhavi Herath,['A0031'],['literature'],['contemporary'],['english'],Kalutara,Galle Fort Gateway,['contemporary'],"['romantic', 'intellectual']",,[],competition,2026-04-21T10:09:28.501396,100,0,upcoming
E0018,Evening with Karunarathna Divulgane,['A0034'],['crafts'],['contemporary'],['english'],Ampara,Sugathadasa Indoor Stadium,['contemporary'],"['celebratory', 'reflective', 'intellectual']",,[],competition,2026-02-20T10:09:28.501407,200,0,upcoming
E0019,Evening with Gayan Sivarajah,"['A0046', 'A0019']","['literature', 'drama']","['sokari', 'contemporary']","['english', 'sinhala']",Polonnaruwa,Galle Face Green,['contemporary'],"['devotional', 'energetic']",,[],performance,2026-07-03T10:09:28.501419,100,1500,upcoming
E0020,Celebration of Kavitha De Silva,"['A0009', 'A0045', 'A0017']","['visual_arts', 'literature']","['traditional', 'contemporary']","['tamil', 'english']",Hambantota,Gangaramaya Temple Grounds,['contemporary'],"['spiritual', 'patriotic', 'celebratory']",,[],concert,2026-04-18T10:09:28.501433,1000,1500,upcoming
E0021,Evening with Kavinda Kumara,['A0047'],['drama'],"['experimental', 'nadagam']",['sinhala'],Anuradhapura,Gangaramaya Temple Grounds,['contemporary'],"['spiritual', 'intellectual']",,[],festival,2026-03-14T10:09:28.501444,1000,0,upcoming
E0022,Celebration of Nishani Wickremasinghe,['A0036'],['drama'],['contemporary'],['sinhala'],Colombo,BMICH (Bandaranaike Memorial International Conference Hall),['contemporary'],"['spiritual', 'patriotic']",,[],workshop,2026-08-06T10:09:28.501454,100,500,upcoming
E0023,Celebration of Sashika Nisansala,['A0020'],['visual_arts'],['contemporary'],['english'],Kegalle,Cinnamon Grand Ballroom,['contemporary'],['spiritual'],,[],competition,2026-05-12T10:09:28.501464,200,1500,upcoming
E0024,Night of Chathura Senanayake,['A0012'],['visual_arts'],"['traditional', 'contemporary']","['english', 'sinhala']",Kegalle,Viharamahadevi Park Open Air Theatre,['contemporary'],"['spiritual', 'reflective']",,[],ritual_ceremony,2026-03-17T10:09:28.501475,100,0,upcoming
E0025,Evening with Sashika Nisansala,['A0020'],['visual_arts'],['contemporary'],['english'],Kegalle,Galadari Hotel Ballroom,['contemporary'],['spiritual'],,[],concert,2026-04-12T10:09:28.501485,500,1000,upcoming
E0026,Live Sachini Dissanayake,['A0007'],['dance'],['fusion'],['sinhala'],Anuradhapura,Gangaramaya Temple Grounds,"['contemporary', 'fusion']","['spiritual', 'intellectual', 'energetic']",,[],performance,2026-05-06T10:09:28.501496,2000,3000,upcoming
E0027,Celebration of Dilini De Silva,['A0054'],['literature'],['traditional'],['sinhala'],Ratnapura,Royal College Main Hall,['contemporary'],"['devotional', 'spiritual']",,[],performance,2026-03-13T10:09:28.501507,2000,500,upcoming
E0028,Evening with Ravi Wickremasinghe,['A0003'],['drama'],['contemporary'],['tamil'],Anuradhapura,Navarangahala (Borella),['contemporary'],"['spiritual', 'reflective', 'patriotic']",,[],exhibition,2026-04-03T10:09:28.501517,50,1500,upcoming
E0029,Live Pandith Amaradeva,['A0035'],['literature'],['contemporary'],['tamil'],Ampara,Tower Hall Theatre,['contemporary'],['intellectual'],,[],concert,2026-03-25T10:09:28.501530,50,0,upcoming
E0030,Live Ashanthi De Alwis,"['A0014', 'A0008']","['literature', 'music']","['baila', 'contemporary']","['english', 'sinhala']",Colombo,Galle Fort Gateway,['contemporary'],"['celebratory', 'devotional', 'energetic']",,[],ritual_ceremony,2026-05-31T10:09:28.501542,200,3000,upcoming
E0031,Evening with Ajith Wickremasinghe,['A0016'],['drama'],['nurti'],['sinhala'],Kalutara,Colombo Hilton Grand Ballroom,['contemporary'],"['devotional', 'energetic']",,[],concert,2026-03-06T10:09:28.501553,100,3000,upcoming
E0032,Poson - Anusha Gunawardena,"['A0005', 'A0057']","['dance', 'music']","['elle', 'kandyan']",['sinhala'],Ampara,Ladies' College Auditorium,"['traditional', 'contemporary']","['devotional', 'reflective', 'energetic']",poson,['poson'],concert,2026-03-02T10:09:28.501566,100,1000,upcoming
E0033,Evening with Gayan Sivarajah,['A0046'],['literature'],['contemporary'],"['english', 'sinhala']",Polonnaruwa,Cinnamon Grand Ballroom,['contemporary'],['energetic'],,[],workshop,2026-02-25T10:09:28.501576,500,3000,upcoming
E0034,Vesak - Kumar Rajapaksa,['A0013'],['dance'],"['bharatanatyam', 'kandyan']",['tamil'],Kandy,Jaffna Public Library Hall,['traditional'],"['devotional', 'reflective']",vesak,['vesak'],exhibition,2026-02-26T10:09:28.501587,1000,1000,upcoming
E0035,Celebration of Chathura Herath,"['A0041', 'A0018']","['dance', 'crafts']","['low_country', 'traditional', 'kandyan']",['sinhala'],Anuradhapura,Dalada Maligawa (Temple of the Tooth),"['traditional', 'contemporary']","['devotional', 'spiritual', 'celebratory']",,[],workshop,2026-06-20T10:09:28.501599,50,0,upcoming
E0036,Live Kavinda Dissanayake,['A0026'],['drama'],['nurti'],['sinhala'],Matale,Galle Fort Gateway,['contemporary'],['reflective'],,[],competition,2026-07-02T10:09:28.501609,100,3000,upcoming
E0037,Celebration of Nimesh Pathirana,"['A0050', 'A0045', 'A0022']","['visual_arts', 'literature', 'crafts']","['traditional', 'contemporary']","['english', 'sinhala']",Chilaw,Kelaniya Raja Maha Vihara,['contemporary'],"['spiritual', 'intellectual', 'patriotic']",,[],festival,2026-06-22T10:09:28.501622,200,1000,upcoming
E0038,Celebration of Amila De Silva,['A0011'],['visual_arts'],['traditional'],['sinhala'],Kilinochchi,Lionel Wendt Theatre,['contemporary'],['devotional'],,[],exhibition,2026-07-20T10:09:28.501633,100,0,upcoming
E0039,Live Kavinda Ranasinghe,['A0030'],['literature'],['traditional'],['sinhala'],Ampara,Waters Edge,['contemporary'],"['devotional', 'spiritual']",,[],exhibition,2026-07-17T10:09:28.501643,100,500,upcoming
E0040,Evening with Ravi Wijesinghe,['A0015'],['dance'],['bharatanatyam'],['tamil'],Mannar,Lumbini Theatre (Havelock Town),['contemporary'],"['celebratory', 'reflective']",,[],festival,2026-03-04T10:09:28.501654,100,1000,upcoming
E0041,Celebration of Ravi De Silva,['A0053'],['music'],['baila'],['sinhala'],Ratnapura,Jaffna Public Library Hall,['contemporary'],"['celebratory', 'energetic']",,[],performance,2026-04-19T10:09:28.501665,1000,1000,upcoming
E0042,Celebration of Vajira,"['A0001', 'A0045', 'A0044']","['literature', 'music']","['traditional', 'elle', 'baila', 'contemporary']","['english', 'sinhala']",Hambantota,Sugathadasa Indoor Stadium,['contemporary'],"['celebratory', 'spiritual', 'energetic']",,[],festival,2026-07-12T10:09:28.501680,100,500,upcoming
E0043,Esala Perahera - Chathura Rajapaksa,['A0002'],['dance'],['kandyan'],['sinhala'],Matale,Gangaramaya Temple Grounds,['traditional'],"['celebratory', 'spiritual', 'patriotic']",esala_perahera,['esala_perahera'],concert,2026-02-23T10:09:28.501692,1000,500,upcoming
E0044,Celebration of Meena Wickremasinghe,['A0058'],['drama'],"['kolam', 'contemporary']",['tamil'],Galle,Sri Lanka Foundation Institute,['traditional'],"['intellectual', 'patriotic', 'energetic']",,[],performance,2026-05-16T10:09:28.501702,2000,500,upcoming
E0045,Celebration of Kavitha De Silva,['A0009'],['visual_arts'],['contemporary'],['tamil'],Hambantota,Mount Lavinia Hotel Ballroom,['contemporary'],"['intellectual', 'energetic']",,[],competition,2026-03-26T10:09:28.501713,50,2000,upcoming
E0046,Celebration of Arun Sivarajah,"['A0023', 'A0045', 'A0042']","['visual_arts', 'literature']","['traditional', 'contemporary']","['tamil', 'english', 'sinhala']",Mannar,Cinnamon Grand Ballroom,['contemporary'],"['celebratory', 'devotional', 'spiritual']",,[],festival,2026-03-15T10:09:28.501726,200,500,upcoming
E0047,Celebration of Rookantha Gunathilaka,['A0010'],['drama'],['kolam'],['sinhala'],Hambantota,National Museum Auditorium,['traditional'],['reflective'],,[],ritual_ceremony,2026-07-31T10:09:28.501736,500,3000,upcoming
E0048,Evening with Pandith Amaradeva,['A0035'],['literature'],['contemporary'],['tamil'],Ampara,Sri Lanka Foundation Institute,['contemporary'],['intellectual'],,[],ritual_ceremony,2026-08-07T10:09:28.501746,1000,500,upcoming
E0049,Independence Day - Damith Amarasinghe,['A0044'],['music'],"['baila', 'contemporary']",['sinhala'],Hambantota,Regal Theatre (Colombo),['contemporary'],"['celebratory', 'energetic']",independence_day,['independence_day'],performance,2026-07-14T10:09:28.501757,500,1000,upcoming
E0050,Live Sunil Ariyaratne,['A0038'],['visual_arts'],['traditional'],['sinhala'],Galle,Royal College Main Hall,['contemporary'],"['romantic', 'spiritual']",,[],ritual_ceremony,2026-07-24T10:09:28.501767,100,3000,upcoming
E0051,Live Kavitha De Silva,"['A0009', 'A0021', 'A0047']","['visual_arts', 'drama', 'crafts']","['experimental', 'traditional', 'contemporary', 'nadagam']","['tamil', 'sinhala']",Hambantota,Colombo Hilton Grand Ballroom,['contemporary'],"['spiritual', 'intellectual', 'energetic']",,[],performance,2026-05-17T10:09:28.501780,200,500,upcoming
E0052,Night of Uresha Ravihari,"['A0042', 'A0040']",['visual_arts'],"['traditional', 'contemporary']",['sinhala'],Kilinochchi,Ladies' College Auditorium,['contemporary'],"['celebratory', 'devotional', 'patriotic']",,[],workshop,2026-02-20T10:09:28.501792,200,500,upcoming
E0053,Evening with Annesley Malewana,"['A0022', 'A0016']","['drama', 'crafts']","['traditional', 'nurti']",['sinhala'],Polonnaruwa,Galle Face Green,['contemporary'],"['devotional', 'patriotic', 'energetic']",,[],competition,2026-02-18T10:09:28.501803,50,1500,upcoming
E0054,Evening with Rookantha Gunathilaka,"['A0010', 'A0056']","['drama', 'crafts']","['kolam', 'traditional']",['sinhala'],Hambantota,Galadari Hotel Ballroom,"['traditional', 'contemporary']","['reflective', 'patriotic', 'energetic']",,[],workshop,2026-05-25T10:09:28.501815,200,2000,upcoming
E0055,Live Kavinda Ranasinghe,['A0030'],['literature'],['traditional'],['sinhala'],Ampara,Bentota Beach Resort,['contemporary'],"['devotional', 'spiritual']",,[],competition,2026-04-16T10:09:28.501825,100,1500,upcoming
E0056,Esala Perahera - Chathura Rajapaksa,"['A0002', 'A0018']",['dance'],"['low_country', 'kandyan']",['sinhala'],Matale,Lionel Wendt Theatre,['traditional'],"['spiritual', 'patriotic', 'celebratory']",esala_perahera,['esala_perahera'],exhibition,2026-03-08T10:09:28.501840,200,0,upcoming
E0057,Evening with Rookantha Gunathilaka,"['A0010', 'A0046']","['literature', 'drama']","['kolam', 'contemporary']","['english', 'sinhala']",Hambantota,Colombo Hilton Grand Ballroom,"['traditional', 'contemporary']","['reflective', 'energetic']",,[],festival,2026-03-13T10:09:28.501852,200,1000,upcoming
E0058,Live Sachini Pathirana,"['A0027', 'A0041']","['music', 'crafts']","['traditional', 'folk_music', 'contemporary']","['english', 'sinhala']",Kandy,Kandy Lake Club,['contemporary'],"['spiritual', 'devotional', 'romantic']",,[],festival,2026-06-09T10:09:28.501864,100,0,upcoming
E0059,Celebration of Chathura Senanayake,['A0012'],['visual_arts'],"['traditional', 'contemporary']","['english', 'sinhala']",Kegalle,Galadari Hotel Ballroom,['contemporary'],"['spiritual', 'reflective']",,[],competition,2026-07-06T10:09:28.501875,200,3000,upcoming
E0060,Night of Sunil Edirisinghe,['A0006'],['drama'],['nurti'],['sinhala'],Mannar,BMICH (Bandaranaike Memorial International Conference Hall),['contemporary'],['energetic'],,[],workshop,2026-07-14T10:09:28.501885,1000,1500,upcoming
E0061,Evening with Lahiru Amarasinghe,['A0000'],['visual_arts'],['traditional'],['sinhala'],Colombo,National Museum Auditorium,['contemporary'],['romantic'],,[],concert,2026-05-04T10:09:28.501895,2000,3000,upcoming
E0062,Evening with Vajira,['A0001'],['music'],['elle'],['sinhala'],Hambantota,Anuradhapura Cultural Centre,['contemporary'],['spiritual'],,[],performance,2026-07-31T10:09:28.501905,200,0,upcoming
E0063,Live Nalaka Mendis,"['A0019', 'A0050']","['visual_arts', 'drama']","['sokari', 'contemporary']",['sinhala'],Anuradhapura,Cinnamon Grand Ballroom,['contemporary'],"['devotional', 'intellectual', 'energetic']",,[],workshop,2026-06-23T10:09:28.501916,2000,1000,upcoming
E0064,Live H.R. Jothipala,"['A0024', 'A0011']","['visual_arts', 'music']","['traditional', 'fusion']",['sinhala'],Chilaw,Maharagama Youth Centre,"['contemporary', 'fusion']","['celebratory', 'devotional', 'intellectual']",,[],workshop,2026-05-23T10:09:28.501928,100,1500,upcoming
E0065,Live Chathura Mendis,['A0029'],['music'],['devotional_buddhist'],['sinhala'],Trincomalee,Punchi Theatre (Borella),['traditional'],"['devotional', 'spiritual']",,[],performance,2026-07-12T10:09:28.501939,50,500,upcoming
E0066,Live Annesley Malewana,['A0022'],['crafts'],['traditional'],['sinhala'],Polonnaruwa,Colombo Racecourse,['contemporary'],"['patriotic', 'energetic']",,[],workshop,2026-07-18T10:09:28.501949,100,2000,upcoming
E0067,Evening with Chandima Mendis,"['A0052', 'A0033']",['drama'],"['kolam', 'nadagam', 'nurti']",['sinhala'],Kalutara,Galadari Hotel Ballroom,"['traditional', 'contemporary']","['celebratory', 'romantic', 'reflective']",,[],festival,2026-06-19T10:09:28.501961,1000,0,upcoming
E0068,Night of Amila Bandara,['A0025'],['drama'],"['kolam', 'nadagam']",['sinhala'],Matara,Nelum Pokuna Theatre,['traditional'],"['spiritual', 'patriotic']",,[],festival,2026-07-14T10:09:28.501972,1000,1000,upcoming
E0069,Night of Malsha Nadarajah,['A0048'],['music'],"['elle', 'folk_music']",['sinhala'],Matale,Sapumal Foundation,['contemporary'],"['devotional', 'spiritual', 'patriotic']",,[],performance,2026-04-01T10:09:28.501983,100,500,upcoming
E0070,Celebration of Anusha Gunawardena,['A0005'],['music'],['elle'],['sinhala'],Ampara,National Museum Auditorium,['contemporary'],['devotional'],,[],performance,2026-07-28T10:09:28.502000,100,2000,upcoming
E0071,Celebration of Gayan Sivarajah,['A0046'],['literature'],['contemporary'],"['english', 'sinhala']",Polonnaruwa,Colombo Hilton Grand Ballroom,['contemporary'],['energetic'],,[],concert,2026-05-28T10:09:28.502012,1000,1500,upcoming
E0072,Live Amarasiri Peiris,"['A0033', 'A0029']","['music', 'drama']","['kolam', 'nurti', 'devotional_buddhist']",['sinhala'],Galle,Bishop's College Auditorium,['traditional'],"['spiritual', 'devotional', 'romantic']",,[],ritual_ceremony,2026-07-18T10:09:28.502025,1000,1500,upcoming
E0073,Live Kavitha De Silva,['A0009'],['visual_arts'],['contemporary'],['tamil'],Hambantota,Bentota Beach Resort,['contemporary'],"['intellectual', 'energetic']",,[],festival,2026-07-17T10:09:28.502035,50,0,upcoming
E0074,Independence Day - Dilini Senanayake,"['A0055', 'A0034']","['dance', 'crafts']","['sabaragamuwa', 'contemporary']","['english', 'sinhala']",Jaffna,Sugathadasa Indoor Stadium,['contemporary'],"['celebratory', 'devotional', 'reflective']",independence_day,['independence_day'],workshop,2026-07-14T10:09:28.502049,1000,500,upcoming
E0075,Evening with Lasith De Silva,['A0017'],['literature'],"['traditional', 'contemporary']",['english'],Trincomalee,Cinnamon Grand Ballroom,['contemporary'],"['celebratory', 'intellectual', 'patriotic']",,[],performance,2026-07-26T10:09:28.502060,1000,3000,upcoming
E0076,Evening with Kavinda Jayawardena,['A0056'],['crafts'],['traditional'],['sinhala'],Ampara,Ladies' College Auditorium,['contemporary'],"['patriotic', 'energetic']",,[],competition,2026-04-19T10:09:28.502070,50,3000,upcoming
E0077,Live Lasith Wickremasinghe,"['A0057', 'A0023', 'A0001']","['dance', 'literature', 'music']","['elle', 'contemporary', 'kandyan']","['tamil', 'sinhala']",Nuwara Eliya,Ladies' College Auditorium,"['traditional', 'contemporary']","['devotional', 'spiritual', 'reflective']",,[],ritual_ceremony,2026-05-08T10:09:28.502083,200,1500,upcoming
E0078,Evening with Ashanthi De Alwis,"['A0014', 'A0008', 'A0019']","['literature', 'music', 'drama']","['sokari', 'baila', 'contemporary']","['english', 'sinhala']",Colombo,Sapumal Foundation,['contemporary'],"['celebratory', 'devotional', 'energetic']",,[],ritual_ceremony,2026-05-11T10:09:28.502096,200,3000,upcoming
E0079,Celebration of Anusha Gunawardena,"['A0005', 'A0012']","['visual_arts', 'music']","['traditional', 'elle', 'contemporary']","['english', 'sinhala']",Ampara,Sapumal Foundation,['contemporary'],"['devotional', 'spiritual', 'reflective']",,[],performance,2026-06-02T10:09:28.502108,2000,1500,upcoming
E0080,Evening with Gayan Senanayake,"['A0032', 'A0050']","['dance', 'visual_arts']","['low_country', 'contemporary']",['sinhala'],Hambantota,Kandy Lake Club,"['traditional', 'contemporary']","['spiritual', 'intellectual', 'patriotic']",,[],concert,2026-05-08T10:09:28.502119,2000,2000,upcoming
E0081,Night of Dilini De Silva,['A0054'],['literature'],['traditional'],['sinhala'],Ratnapura,Waters Edge,['contemporary'],"['devotional', 'spiritual']",,[],festival,2026-02-25T10:09:28.502130,100,0,upcoming
E0082,Evening with Ravi Wijesinghe,"['A0015', 'A0002']",['dance'],"['bharatanatyam', 'kandyan']","['tamil', 'sinhala']",Mannar,Colombo University Arts Theatre,"['traditional', 'contemporary']","['celebratory', 'spiritual', 'reflective']",,[],concert,2026-04-09T10:09:28.502146,200,1000,upcoming
E0083,Evening with Chitral Somapala,['A0040'],['visual_arts'],['contemporary'],['sinhala'],Monaragala,Independence Square,['contemporary'],['patriotic'],,[],competition,2026-02-25T10:09:28.502156,100,1000,upcoming
E0084,Night of Amila De Silva,['A0011'],['visual_arts'],['traditional'],['sinhala'],Kilinochchi,Kelaniya Raja Maha Vihara,['contemporary'],['devotional'],,[],festival,2026-07-09T10:09:28.502167,200,500,upcoming
E0085,Night of Ajith Wickremasinghe,"['A0016', 'A0047']",['drama'],"['experimental', 'nadagam', 'nurti']",['sinhala'],Kalutara,Gangaramaya Temple Grounds,['contemporary'],"['devotional', 'spiritual', 'intellectual']",,[],exhibition,2026-02-25T10:09:28.502178,500,0,upcoming
E0086,Vesak - Hiruni Kumar,"['A0049', 'A0013']","['dance', 'literature']","['bharatanatyam', 'contemporary', 'kandyan']","['tamil', 'sinhala']",Badulla,Elphinstone Theatre,"['traditional', 'contemporary']","['devotional', 'reflective']",vesak,['vesak'],competition,2026-04-27T10:09:28.502190,2000,500,upcoming
E0087,Live Dilini Senanayake,['A0055'],['dance'],['sabaragamuwa'],['sinhala'],Jaffna,Bishop's College Auditorium,['contemporary'],['devotional'],,[],workshop,2026-03-23T10:09:28.502201,2000,500,upcoming
E0088,Evening with Sunil Ariyaratne,['A0038'],['visual_arts'],['traditional'],['sinhala'],Galle,Navarangahala (Borella),['contemporary'],"['romantic', 'spiritual']",,[],competition,2026-08-01T10:09:28.502211,200,1500,upcoming
E0089,Live Chathura Mendis,"['A0029', 'A0016']","['music', 'drama']","['nurti', 'devotional_buddhist']",['sinhala'],Trincomalee,Anuradhapura Cultural Centre,"['traditional', 'contemporary']","['devotional', 'spiritual', 'energetic']",,[],workshop,2026-07-01T10:09:28.502223,1000,1500,upcoming
E0090,Celebration of Uresha Ravihari,['A0042'],['visual_arts'],['traditional'],['sinhala'],Kilinochchi,Maharagama Youth Centre,['contemporary'],"['celebratory', 'devotional']",,[],festival,2026-08-02T10:09:28.502233,1000,1000,upcoming
E0091,Celebration of Sunil Edirisinghe,['A0006'],['drama'],['nurti'],['sinhala'],Mannar,Kelaniya Raja Maha Vihara,['contemporary'],['energetic'],,[],concert,2026-05-15T10:09:28.502243,200,3000,upcoming
E0092,Night of Ajith Wickremasinghe,"['A0016', 'A0041']","['drama', 'crafts']","['traditional', 'nurti']",['sinhala'],Kalutara,Paradise Road Gallery,['contemporary'],"['devotional', 'spiritual', 'energetic']",,[],exhibition,2026-04-07T10:09:28.502254,100,2000,upcoming
E0093,Night of Kasun Thiyagarajah,"['A0051', 'A0054']","['literature', 'crafts']","['traditional', 'contemporary']",['sinhala'],Kandy,Cinnamon Lakeside Ballroom,['contemporary'],"['celebratory', 'devotional', 'spiritual']",,[],workshop,2026-08-06T10:09:28.502266,200,3000,upcoming
E0094,Live Chathura Herath,"['A0041', 'A0031']","['literature', 'crafts']","['traditional', 'contemporary']","['english', 'sinhala']",Anuradhapura,Regal Theatre (Colombo),['contemporary'],"['devotional', 'spiritual', 'intellectual']",,[],exhibition,2026-06-01T10:09:28.502278,500,3000,upcoming
E0095,Evening with Nishani Wickremasinghe,['A0036'],['drama'],['contemporary'],['sinhala'],Colombo,Galle Fort Gateway,['contemporary'],"['spiritual', 'patriotic']",,[],exhibition,2026-04-15T10:09:28.502288,2000,2000,upcoming
E0096,Night of Uresha Ravihari,"['A0042', 'A0022', 'A0032']","['visual_arts', 'dance', 'crafts']","['low_country', 'traditional']",['sinhala'],Kilinochchi,Navarangahala (Borella),"['traditional', 'contemporary']","['devotional', 'spiritual', 'patriotic']",,[],ritual_ceremony,2026-04-02T10:09:28.502301,2000,2000,upcoming
E0097,Night of Kavinda Ranasinghe,['A0030'],['literature'],['traditional'],['sinhala'],Ampara,Viharamahadevi Park Open Air Theatre,['contemporary'],"['devotional', 'spiritual']",,[],competition,2026-04-25T10:09:28.502311,2000,2000,upcoming
E0098,Celebration of Lasith Wickremasinghe,"['A0057', 'A0021', 'A0041']","['dance', 'crafts']","['traditional', 'contemporary', 'kandyan']",['sinhala'],Nuwara Eliya,Gangaramaya Temple Grounds,"['traditional', 'contemporary']","['devotional', 'spiritual', 'intellectual']",,[],performance,2026-05-07T10:09:28.502324,500,1000,upcoming
E0099,Poson - Chathura Bandara,['A0018'],['dance'],"['low_country', 'kandyan']",['sinhala'],Kandy,Colombo University Arts Theatre,['traditional'],"['celebratory', 'reflective', 'intellectual']",poson,['poson'],ritual_ceremony,2026-07-30T10:09:28.502335,1000,1000,upcoming
E0100,Peradeniya Arts Festival - Nalaka Nadarajah,"['A0004', 'A0030', 'A0056']","['literature', 'crafts']","['traditional', 'contemporary']","['english', 'sinhala']",Gampaha,Galle Fort Gateway,['contemporary'],"['devotional', 'spiritual', 'patriotic']",peradeniya_arts_festival,['peradeniya_arts_festival'],festival,2026-07-03T10:09:28.502349,200,500,upcoming
E0101,Evening with Dilini De Silva,['A0054'],['literature'],['traditional'],['sinhala'],Ratnapura,University of Peradeniya Open Air Theatre,['contemporary'],"['devotional', 'spiritual']",,[],performance,2026-04-10T10:09:28.502359,200,1500,upcoming
E0102,Night of Dilini Senanayake,['A0055'],['dance'],['sabaragamuwa'],['sinhala'],Jaffna,Jaffna Public Library Hall,['contemporary'],['devotional'],,[],ritual_ceremony,2026-03-10T10:09:28.502370,500,1000,upcoming
E0103,Night of Ravi Wickremasinghe,['A0003'],['drama'],['contemporary'],['tamil'],Anuradhapura,Bishop's College Auditorium,['contemporary'],"['spiritual', 'reflective', 'patriotic']",,[],workshop,2026-04-29T10:09:28.502380,100,500,upcoming
E0104,Evening with Malsha Nadarajah,['A0048'],['music'],"['elle', 'folk_music']",['sinhala'],Matale,Gangaramaya Temple Grounds,['contemporary'],"['devotional', 'spiritual', 'patriotic']",,[],performance,2026-07-25T10:09:28.502390,500,3000,upcoming
